Algorithm,Lines,SortedTime(ns),ShuffledTime(ns),ReversedTime(ns),SortedComparisons,ShuffledComparisons,ReversedComparisons
heap,1301,1334792,524083,232916,N/A,N/A,N/A
heap,1351,1575833,554041,222292,N/A,N/A,N/A
heap,1401,1663458,571334,230042,N/A,N/A,N/A
heap,1451,1659208,563625,238000,N/A,N/A,N/A
heap,1501,1594209,627375,246000,N/A,N/A,N/A
heap,1551,1529750,611875,258875,N/A,N/A,N/A
heap,1601,1463541,580375,268583,N/A,N/A,N/A
heap,1651,1455708,737458,272542,N/A,N/A,N/A
heap,1701,1569292,655916,280083,N/A,N/A,N/A
heap,1751,1606333,795666,320375,N/A,N/A,N/A
bubble,1,3708,750,292,0,0,0
bubble,51,393791,283709,225666,1275,1275,1275
bubble,101,1062292,865833,651292,5050,5050,5050
bubble,151,1537167,1577542,1474333,11325,11325,11325
bubble,201,2071125,2539709,2618083,20100,20100,20100
bubble,251,5617833,3668292,1627125,31375,31375,31375
bubble,301,5354542,3216958,2056834,45150,45150,45150
bubble,351,6308416,3226333,3039084,61425,61425,61425
bubble,401,8139125,3396458,3557584,80200,80200,80200
bubble,451,7800792,4947959,4987292,101475,101475,101475
bubble,501,8786417,5934375,6245000,125250,125250,125250
bubble,551,9681084,7262458,7542167,151525,151525,151525
bubble,601,10802500,8438834,6391167,180300,180300,180300
bubble,651,9630542,8074833,5880291,211575,211575,211575
bubble,701,13148833,9347625,2060750,245350,245350,245350
bubble,751,14468417,15292625,1751666,281625,281625,281625
bubble,801,15256000,13193917,2658416,320400,320400,320400
bubble,851,17228166,17081916,15556459,361675,361675,361675
bubble,901,14350500,15568625,17670709,405450,405450,405450
bubble,951,20545333,15112750,3423584,451725,451725,451725
bubble,1001,22250750,22896833,10332708,500500,500500,500500
bubble,1051,23407250,16415208,4081500,551775,551775,551775
bubble,1101,26530750,28391250,4994125,605550,605550,605550
bubble,1151,27987541,20432958,4821875,661825,661825,661825
bubble,1201,30192375,26491792,5078208,720600,720600,720600
bubble,1251,32426166,23553250,5588833,781875,781875,781875
bubble,1301,34835000,32635791,5960500,845650,845650,845650
bubble,1351,37221875,25883208,6667458,911925,911925,911925
bubble,1401,28833792,22317500,6856083,980700,980700,980700
bubble,1451,29600166,22374083,7134459,1051975,1051975,1051975
bubble,1501,44696125,17677750,7758750,1125750,1125750,1125750
bubble,1551,47656292,22284709,7106542,1202025,1202025,1202025
bubble,1601,50272292,17159292,7521625,1280800,1280800,1280800
bubble,1651,26079708,22538000,7757416,1362075,1362075,1362075
bubble,1701,27616625,22890834,8188500,1445850,1445850,1445850
bubble,1751,53229375,18910917,8825292,1532125,1532125,1532125
transposition,1,9834,959,375,0,0,0
transposition,51,44958,353375,246125,50,1100,1350
transposition,101,77875,829084,664209,100,4300,5200
transposition,151,96584,1748334,1462250,150,10500,11550
transposition,201,83917,2253375,2614083,200,15600,20400
transposition,251,158292,4959583,3823125,250,29000,31750
transposition,301,182917,7738208,3547917,300,45000,45600
transposition,351,89125,7243542,3650959,350,58800,61950
transposition,401,151875,8433750,3751541,400,74400,80800
transposition,451,219667,9393209,4547458,450,94500,102150
transposition,501,108042,11072625,6535917,500,120000,126000
transposition,551,62916,12340916,7622125,550,149600,152350
transposition,601,66583,13462750,9118541,600,171600,181200
transposition,651,223500,22481167,12871250,650,204750,212550
transposition,701,79458,24698166,16991583,700,228200,246400
transposition,751,81791,17892833,8963417,750,281250,282750
transposition,801,120250,19837625,16448459,800,294400,321600
transposition,851,88000,21001083,7259459,850,337450,362950
transposition,901,91042,22145916,8496250,900,385200,406800
transposition,951,104458,26457959,18036292,950,439850,453150
transposition,1001,102625,27575833,3995042,1000,471000,502000
transposition,1051,110250,30605667,5060167,1050,520800,553350
transposition,1101,112708,28150917,24368500,1100,592900,607200
transposition,1151,124709,37943250,13228292,1150,638250,663550
transposition,1201,127541,39553625,23255084,1200,712800,722400
transposition,1251,123792,41632667,6274458,1250,758750,783750
transposition,1301,129000,39604917,25202458,1300,800800,847600
transposition,1351,136041,40053875,24849209,1350,897750,913950
transposition,1401,142791,50883791,30775166,1400,956200,982800
transposition,1451,144875,34156500,24034375,1450,1038200,1054150
transposition,1501,150958,58690625,11982291,1500,1113000,1128000
transposition,1551,181375,33801209,18746959,1550,1167150,1204350
transposition,1601,162542,64956208,13215375,1600,1251200,1283200
transposition,1651,168500,39787542,12650042,1650,1290300,1364550
transposition,1701,170000,38137666,16741208,1700,1414400,1448400
transposition,1751,171208,47468625,11421667,1750,1489250,1534750
