0,2792,209,250,209,250,208
50,369042,65875,283375,65875,148458,24834
100,264625,112875,342708,112875,329333,36917
150,373959,140417,374667,140417,516500,47500
200,430208,170083,382125,170083,574583,86000
250,1969792,269083,534000,269083,603833,86958
300,573042,227917,530083,227917,436292,97417
350,666042,307791,581834,307791,397667,114917
400,594542,274875,645500,274875,410208,132625
450,829041,246542,696625,246542,435250,150500
500,766541,228625,752083,228625,437417,156250
550,665458,236584,793916,236584,462375,164250
600,775625,188875,844291,188875,480625,179417
650,844208,178958,945541,178958,500167,184959
700,744750,119750,785292,119750,782458,190625
750,684083,133500,776000,133500,775750,189792
800,700542,146875,792083,146875,776625,195083
850,735375,159791,801416,159791,774708,201334
900,631750,160666,869292,160666,793125,203833
950,756583,178125,815458,178125,768209,211667
1000,719208,175125,819584,175125,795625,242292
1050,734208,180917,831084,180917,786041,231541
1100,817500,198333,919833,198333,890583,240917
1150,751958,200500,843000,200500,909875,245959
1200,799708,209875,844167,209875,821958,249750
1250,876292,234083,868125,234083,795042,255667
1300,922166,231125,965291,231125,828333,259542
1350,859500,236250,888667,236250,846500,274792
1400,907750,241833,900208,241833,844459,275292
1450,859333,262584,874292,262584,801084,278417
1500,892667,262333,896708,262333,805333,288291
1550,939708,266166,914750,266166,833542,289292
1600,906416,270834,911667,270834,834000,297250
1650,964250,259375,958209,259375,836959,300417
1700,993083,281709,947458,281709,838167,310750
1750,1037083,287417,1003458,287417,1106500,335292
100,371417,98834,394000,98834,295875,31333
100,367375,97875,361000,97875,295625,30667
